patient_id,total_logins_30_days,avg_session_duration_minutes,reminder_response_rate,medicine_searches,chat_interactions,reminder_snooze_rate
P01264,5,14.1,0.69,4,10,0.18
P01265,35,10.9,0.53,3,3,0.26
P01266,18,6.3,0.62,1,4,0.35
P01267,89,10.8,0.98,8,0,0.21
P01268,40,8.4,0.36,7,0,0.3
P01269,32,9.6,0.34,10,15,0.11
P01270,15,2.9,0.46,1,11,0.16
P01271,13,12.2,0.52,10,3,0.09
P01272,33,5.8,0.55,0,14,0.23
P01273,78,11.4,0.95,8,1,0.28
P01274,15,14.3,0.41,1,6,0.3
P01275,87,13.8,0.97,3,5,0.38
P01276,34,4.5,0.46,2,0,0.21
P01277,38,8.7,0.43,2,5,0.39
P01278,17,12.6,0.58,9,8,0.07
P01279,27,7.6,0.94,9,12,0.29
P01280,25,8.8,0.39,0,15,0.28
P01281,85,13.3,0.86,2,1,0.15
P01282,10,7.2,0.38,5,7,0.28
P01283,25,12.2,0.98,7,8,0.23
P01284,25,13.0,0.88,0,6,0.12
P01285,9,15.0,0.61,7,0,0.17
P01286,13,12.3,0.7,0,5,0.23
P01287,40,6.9,0.48,8,10,0.14
P01288,14,6.7,0.52,5,1,0.11
P01289,33,4.3,0.46,9,11,0.3
P01290,44,5.9,0.96,3,8,0.28
P01291,26,3.2,0.94,1,8,0.28
P01292,38,8.1,0.39,10,11,0.11
P01293,54,14.0,0.95,9,3,0.21
P01294,83,8.5,0.94,0,13,0.22
P01295,33,4.9,0.45,1,0,0.09
P01296,71,3.8,0.86,1,0,0.24
P01297,23,12.4,0.31,2,0,0.22
P01298,20,2.5,0.62,6,13,0.07
P01299,6,2.6,0.38,7,6,0.4
P01300,68,5.5,0.93,5,1,0.24
P01301,16,3.4,0.5,7,11,0.38
P01302,74,8.3,0.85,6,13,0.27
P01303,21,10.4,0.53,9,12,0.08
P01304,20,10.0,0.69,2,4,0.28
P01305,17,10.3,0.66,3,2,0.21
P01306,78,14.8,0.94,6,9,0.29
P01307,18,7.7,0.64,6,3,0.32
P01308,25,5.9,0.97,10,7,0.15
P01309,32,6.5,0.34,0,6,0.29
P01310,83,4.8,0.95,9,2,0.21
P01311,22,13.7,0.96,8,13,0.08
P01312,82,12.5,0.92,6,13,0.14
P01313,79,8.2,0.86,4,7,0.4
P01314,43,12.7,0.94,5,3,0.4
P01315,13,4.0,0.58,10,7,0.08
P01316,25,14.1,0.93,2,13,0.38
P01317,22,2.6,0.49,7,13,0.27
P01318,85,5.8,0.87,6,7,0.05
P01319,52,4.8,0.86,5,14,0.05
P01320,40,4.4,0.56,2,4,0.19
P01321,63,9.3,0.91,7,13,0.18
P01322,42,6.8,0.92,6,6,0.07
P01323,68,8.2,0.87,6,9,0.08
P01324,19,2.4,0.36,2,11,0.18
P01325,73,2.9,0.94,1,1,0.29
P01326,38,6.6,0.63,3,0,0.2
P01327,77,14.4,0.98,2,11,0.24
P01328,74,10.3,0.95,0,13,0.32
P01329,58,14.5,0.9,3,11,0.16
P01330,6,7.0,0.38,9,3,0.38
P01331,15,12.8,0.32,9,5,0.3
P01332,46,6.8,0.85,3,13,0.32
P01333,10,2.1,0.32,1,0,0.05
P01334,17,13.1,0.66,1,12,0.27
P01335,64,6.3,0.89,6,2,0.15
P01336,46,9.5,0.92,10,3,0.29
P01337,34,5.9,0.85,0,7,0.29
P01338,69,6.8,0.88,3,8,0.28
P01339,35,8.7,0.42,4,5,0.14
P01340,32,5.1,0.65,0,0,0.24
P01341,45,3.0,0.97,6,10,0.16
P01342,35,5.8,0.69,1,7,0.27
P01343,27,8.1,0.31,9,11,0.11
P01344,39,3.9,0.54,0,8,0.24
P01345,23,2.6,0.48,0,11,0.37
P01346,81,12.6,0.88,7,11,0.15
P01347,19,12.3,0.58,8,11,0.06
P01348,78,8.1,0.86,2,1,0.26
P01349,26,9.0,0.96,9,1,0.15
P01350,15,11.6,0.55,7,2,0.2
P01351,5,6.7,0.5,6,0,0.05
P01352,60,14.1,0.96,9,5,0.28
P01353,32,13.1,0.47,6,4,0.11
P01354,39,7.7,0.5,3,1,0.27
P01355,81,5.4,0.92,9,15,0.33
P01356,9,10.4,0.58,10,7,0.35
P01357,22,3.0,0.56,2,15,0.19
P01358,33,7.0,0.97,6,8,0.16
P01359,12,2.2,0.61,7,3,0.32
P01360,18,11.0,0.63,10,9,0.29
P01361,26,13.9,0.91,7,10,0.38
P01362,40,2.1,0.33,2,8,0.12
P01363,30,3.5,0.96,10,11,0.32
P01364,15,7.8,0.54,9,9,0.11
P01365,69,4.3,0.9,10,13,0.06
P01366,5,3.3,0.43,7,14,0.32
P01367,40,5.7,0.63,0,6,0.39
P01368,60,13.6,0.94,10,11,0.33
P01369,18,2.1,0.56,4,0,0.37
P01370,38,10.8,0.52,5,4,0.13
P01371,48,2.7,0.94,0,4,0.12
P01372,20,12.1,0.51,5,10,0.18
P01373,67,9.9,0.85,5,6,0.33
P01374,18,13.0,0.38,1,2,0.39
P01375,12,8.5,0.63,5,12,0.11
P01376,20,11.3,0.37,10,5,0.36
P01377,90,4.8,0.88,6,7,0.08
P01378,10,9.7,0.63,8,15,0.11
P01379,30,12.9,0.37,2,8,0.05
P01380,36,6.5,0.52,4,15,0.08
P01381,15,8.4,0.36,6,7,0.07
P01382,9,13.6,0.58,4,7,0.24
P01383,35,7.8,0.43,4,13,0.24
P01384,80,3.4,0.87,5,9,0.1
P01385,11,14.5,0.47,2,9,0.15
P01386,39,14.4,0.35,9,2,0.21
P01387,28,6.7,0.41,7,8,0.16
P01388,23,7.3,0.3,2,4,0.13
P01389,16,8.6,0.4,1,13,0.09
P01390,60,4.0,0.97,0,14,0.17
P01391,51,6.5,0.92,3,3,0.37
P01392,32,7.1,0.95,3,8,0.14
P01393,27,6.5,0.31,4,11,0.1
P01394,89,14.5,0.98,5,1,0.21
P01395,20,4.4,0.59,10,9,0.37
P01396,89,7.1,0.95,4,10,0.06
P01397,79,6.2,0.86,9,5,0.07
P01398,6,13.9,0.46,1,12,0.29
P01399,80,2.9,0.88,10,5,0.06
P01400,10,6.2,0.67,8,6,0.08
P01401,40,7.0,0.56,5,9,0.11
P01402,69,7.4,0.96,6,15,0.36
P01403,39,8.4,0.6,9,5,0.14
P01404,17,8.0,0.61,9,9,0.35
P01405,85,3.4,0.85,2,8,0.33
P01406,77,12.2,0.86,5,12,0.35
P01407,51,8.8,0.98,10,0,0.08
P01408,25,14.7,0.59,6,12,0.22
P01409,34,4.1,0.9,1,9,0.28
P01410,30,4.2,0.93,1,6,0.37
P01411,29,5.8,0.3,9,14,0.39
P01412,13,2.2,0.34,2,11,0.21
P01413,74,3.4,0.97,4,10,0.12
P01414,18,6.1,0.54,2,9,0.2
P01415,35,5.6,0.46,3,0,0.33
P01416,23,12.7,0.98,4,9,0.26
P01417,17,3.6,0.36,1,13,0.14
P01418,13,11.9,0.47,3,1,0.15
P01419,9,5.4,0.68,9,10,0.05
P01420,8,4.9,0.59,7,12,0.23
P01421,30,7.9,0.48,7,9,0.38
P01422,53,13.4,0.85,3,5,0.37
P01423,19,5.0,0.63,6,15,0.35
P01424,26,8.7,0.67,5,8,0.17
P01425,7,7.6,0.67,10,6,0.37
P01426,23,6.6,0.52,3,3,0.07
P01427,24,3.1,0.61,0,12,0.28
P01428,41,12.3,0.95,10,11,0.35
P01429,81,9.1,0.94,9,3,0.38
P01430,15,8.6,0.36,3,2,0.31
P01431,40,6.6,0.41,9,6,0.37
P01432,23,4.8,0.62,3,0,0.29
P01433,71,3.5,0.9,4,14,0.38
P01434,83,5.6,0.93,0,13,0.38
P01435,33,7.5,0.41,1,0,0.38
P01436,7,12.2,0.4,10,8,0.17
P01437,36,8.8,0.67,5,11,0.22
P01438,26,9.2,0.49,1,2,0.18
P01439,23,12.5,0.33,5,10,0.11
P01440,34,12.4,0.54,9,1,0.23
P01441,29,12.6,0.66,9,1,0.07
P01442,24,9.0,0.48,2,1,0.35
P01443,23,6.0,0.4,7,9,0.18
P01444,11,14.8,0.66,0,6,0.38
P01445,25,5.4,0.34,6,9,0.19
P01446,32,4.8,0.48,10,10,0.13
P01447,19,13.9,0.38,1,12,0.21
P01448,16,14.8,0.35,1,7,0.07
P01449,8,13.2,0.44,3,0,0.39
P01450,31,13.4,0.91,5,10,0.08
P01451,36,13.7,0.88,9,7,0.2
P01452,24,7.5,0.58,8,2,0.06
P01453,35,2.5,0.98,9,13,0.07
P01454,7,10.9,0.47,2,11,0.16
P01455,90,6.7,0.88,9,15,0.33
P01456,59,6.8,0.93,9,1,0.14
P01457,24,11.3,0.39,5,7,0.21
P01458,27,13.6,0.62,9,3,0.22
P01459,36,13.3,0.41,7,1,0.2
P01460,39,6.8,0.59,0,0,0.07
P01461,35,14.9,0.35,5,9,0.26
P01462,36,4.6,0.65,10,0,0.19
P01463,24,4.2,0.55,6,1,0.22
P01464,16,12.0,0.65,1,3,0.27
P01465,39,8.8,0.58,4,5,0.25
P01466,62,2.9,0.9,3,2,0.25
P01467,15,5.5,0.52,6,4,0.35
P01468,51,2.4,0.87,4,5,0.08
P01469,51,5.7,0.88,9,4,0.19
P01470,47,8.0,0.85,7,14,0.37
P01471,24,13.7,0.64,4,0,0.19
P01472,30,8.8,0.37,9,9,0.12
P01473,47,4.4,0.93,5,7,0.25
P01474,25,7.1,0.5,4,12,0.12
P01475,54,5.2,0.9,5,15,0.26
P01476,28,8.9,0.92,6,5,0.39
P01477,39,7.5,0.36,1,14,0.36
P01478,40,2.7,0.96,7,4,0.4
P01479,19,8.1,0.67,0,9,0.28
P01480,49,10.2,0.88,3,6,0.21
P01481,23,14.7,0.35,0,12,0.14
P01482,29,10.7,0.43,3,8,0.39
P01483,23,8.1,0.33,1,11,0.29
P01484,11,4.0,0.34,5,4,0.33
P01485,28,11.5,0.87,4,13,0.06
P01486,56,9.4,0.87,2,5,0.14
P01487,57,8.1,0.91,1,14,0.15
P01488,40,4.1,0.41,4,6,0.32
P01489,90,4.4,0.97,4,12,0.09
P01490,23,13.9,0.65,2,4,0.2
P01491,87,12.3,0.97,5,15,0.11
P01492,34,2.7,0.49,4,0,0.05
P01493,66,10.6,0.97,10,4,0.29
P01494,12,7.5,0.65,9,8,0.18
P01495,74,7.0,0.95,10,4,0.09
P01496,26,4.6,0.64,1,6,0.37
P01497,13,7.0,0.67,4,6,0.3
P01498,14,12.5,0.42,8,8,0.38
P01499,17,12.6,0.55,3,10,0.36
P01500,33,12.5,0.56,9,15,0.32
P01501,33,7.0,0.95,8,4,0.16
P01502,34,4.6,0.38,6,2,0.13
P01503,35,10.3,0.42,10,9,0.15
P01504,32,3.2,0.66,4,5,0.06
P01505,54,12.6,0.89,9,15,0.39
P01506,12,4.1,0.62,4,5,0.35
P01507,80,7.2,0.93,8,8,0.3
P01508,34,14.1,0.65,5,12,0.23
P01509,28,13.0,0.92,5,14,0.13
P01510,19,7.5,0.53,3,1,0.39
P01511,22,14.7,0.9,9,5,0.16
P01512,38,14.6,0.97,10,12,0.21
P01513,55,5.8,0.93,8,1,0.38
P01514,29,5.7,0.34,7,5,0.22
P01515,7,14.4,0.59,0,15,0.26
P01516,8,14.7,0.54,10,0,0.1
P01517,35,14.0,0.35,9,6,0.07
P01518,15,9.3,0.63,3,5,0.27
P01519,21,6.3,0.41,5,15,0.07
P01520,9,5.6,0.57,8,3,0.19
P01521,55,11.5,0.86,4,15,0.07
P01522,69,5.0,0.98,2,11,0.09
P01523,68,8.0,0.96,6,4,0.32
P01524,37,3.9,0.55,6,11,0.1
P01525,30,9.1,0.64,5,7,0.24
P01526,39,13.7,0.35,2,4,0.09
P01527,15,2.0,0.36,6,8,0.06
P01528,29,6.7,0.36,1,1,0.09
P01529,32,14.2,0.95,2,5,0.11
P01530,46,10.6,0.88,1,6,0.25
P01531,28,10.4,0.64,2,10,0.39
P01532,11,8.9,0.37,8,13,0.14
P01533,57,2.9,0.86,9,9,0.22
P01534,77,5.4,0.9,4,10,0.34
P01535,24,7.6,0.93,9,7,0.12
P01536,79,11.4,0.93,5,12,0.21
P01537,23,10.2,0.55,10,15,0.11
P01538,13,3.0,0.44,5,12,0.13
P01539,64,2.6,0.92,8,10,0.06
P01540,34,2.3,0.41,5,5,0.09
P01541,31,7.5,0.68,2,2,0.36
P01542,37,14.3,0.61,1,0,0.36
P01543,18,8.1,0.5,8,12,0.06
P01544,22,7.3,0.34,8,0,0.28
P01545,16,3.8,0.48,0,10,0.11
P01546,24,11.6,0.5,5,5,0.39
P01547,20,8.8,0.61,7,8,0.26
P01548,73,9.8,0.9,8,11,0.4
P01549,19,6.2,0.31,3,9,0.05
P01550,69,5.3,0.91,6,13,0.24
P01551,17,10.5,0.33,0,2,0.16
P01552,11,3.2,0.61,0,4,0.19
P01553,80,7.1,0.86,4,1,0.08
P01554,35,9.9,0.37,4,4,0.11
P01555,23,11.3,0.42,2,11,0.34
P01556,26,7.1,0.97,3,10,0.39
P01557,39,11.8,0.36,3,14,0.31
P01558,14,7.2,0.3,4,5,0.18
P01559,27,12.9,0.46,3,5,0.21
P01560,90,13.0,0.87,2,7,0.07
P01561,89,13.0,0.9,1,8,0.19
P01562,27,9.8,0.31,10,11,0.1
P01563,21,6.0,0.88,10,9,0.2
P01564,26,13.2,0.88,1,9,0.15
P01565,21,11.6,0.69,8,0,0.3
P01566,70,3.7,0.97,0,8,0.05
P01567,30,10.9,0.39,2,2,0.24
P01568,80,13.6,0.98,7,1,0.36
P01569,6,12.6,0.62,0,8,0.12
P01570,88,10.8,0.9,2,1,0.05
P01571,68,6.9,0.94,1,14,0.33
P01572,15,9.5,0.61,10,1,0.36
P01573,38,12.8,0.92,6,0,0.39
P01574,74,6.7,0.9,1,2,0.28
P01575,22,11.3,0.5,2,7,0.28
P01576,78,5.0,0.91,5,15,0.25
P01577,17,10.5,0.67,5,11,0.25
P01578,17,6.8,0.68,3,11,0.34
P01579,35,14.7,0.32,0,3,0.31
P01580,72,10.9,0.9,8,10,0.36
P01581,14,10.3,0.69,0,3,0.29
P01582,82,6.1,0.92,4,0,0.39
P01583,21,9.4,0.62,8,13,0.07
P01584,9,9.3,0.35,1,11,0.26
P01585,14,12.6,0.41,9,2,0.21
P01586,16,3.4,0.32,7,15,0.2
P01587,49,4.3,0.92,10,7,0.14
P01588,64,13.4,0.85,4,0,0.3
P01589,37,9.3,0.49,2,7,0.15
P01590,17,2.6,0.66,6,14,0.14
P01591,78,8.7,0.92,0,7,0.1
P01592,30,8.6,0.37,6,1,0.29
P01593,38,10.8,0.95,2,10,0.34
P01594,9,9.7,0.37,10,15,0.36
P01595,20,12.8,0.42,8,10,0.06
P01596,79,3.5,0.92,1,0,0.11
P01597,30,9.5,0.47,4,2,0.13
P01598,82,4.5,0.91,8,5,0.16
P01599,8,13.1,0.51,4,8,0.36
P01600,69,9.6,0.92,9,3,0.18
P01601,26,9.5,0.33,10,4,0.36
P01602,28,11.3,0.85,5,9,0.32
P01603,66,12.5,0.87,1,2,0.33
P01604,15,14.9,0.41,5,8,0.32
P01605,19,9.9,0.51,7,14,0.26
P01606,35,3.0,0.96,9,13,0.38
P01607,80,4.0,0.95,2,7,0.1
P01608,30,9.8,0.36,6,15,0.33
P01609,26,9.3,0.96,7,4,0.37
P01610,22,13.5,0.89,6,7,0.05
P01611,31,3.8,0.55,2,14,0.12
P01612,17,3.2,0.41,3,4,0.12
P01613,36,13.0,0.5,2,2,0.16
P01614,60,2.9,0.92,7,4,0.16
P01615,50,8.8,0.88,7,1,0.38
P01616,30,4.2,0.32,9,3,0.23
P01617,36,14.8,0.7,0,0,0.13
P01618,10,10.7,0.55,10,6,0.34
P01619,51,11.4,0.85,10,14,0.23
P01620,5,4.4,0.47,1,1,0.08
P01621,14,11.7,0.64,5,7,0.13
P01622,14,5.8,0.41,10,12,0.22
P01623,54,7.2,0.86,9,1,0.25
P01624,67,4.0,0.85,7,3,0.16
P01625,16,4.6,0.55,5,15,0.34
P01626,21,10.2,0.53,6,0,0.32
P01627,33,8.7,0.93,3,15,0.32
P01628,18,7.3,0.41,9,8,0.16
P01629,16,3.5,0.59,7,11,0.14
P01630,8,7.3,0.57,9,5,0.32
P01631,90,3.5,0.98,5,3,0.29
P01632,27,11.8,0.46,5,11,0.35
P01633,72,5.3,0.9,1,8,0.21
P01634,10,2.3,0.41,10,14,0.06
P01635,31,10.2,0.43,0,13,0.37
P01636,11,6.8,0.48,0,8,0.28
P01637,29,9.6,0.38,6,7,0.08
P01638,29,5.4,0.37,5,13,0.12
P01639,40,6.9,0.37,6,13,0.29
P01640,15,13.8,0.44,1,5,0.33
P01641,12,13.9,0.33,2,2,0.07
P01642,7,2.1,0.51,0,10,0.08
P01643,24,14.8,0.47,1,1,0.24
P01644,26,14.3,0.44,1,15,0.23
P01645,33,6.4,0.91,5,7,0.11
P01646,28,11.2,0.94,8,15,0.05
P01647,33,6.2,0.61,4,12,0.13
P01648,20,2.6,0.34,9,7,0.4
P01649,55,7.4,0.9,0,4,0.32
P01650,38,5.4,0.36,8,12,0.39
P01651,31,4.2,0.43,8,12,0.15
P01652,36,4.6,0.31,6,12,0.16
P01653,12,11.5,0.48,10,14,0.13
P01654,78,14.0,0.96,3,11,0.05
P01655,60,8.1,0.96,0,12,0.25
P01656,17,12.4,0.43,2,1,0.12
P01657,18,11.2,0.64,6,0,0.38
P01658,14,2.6,0.37,9,11,0.05
P01659,66,6.9,0.94,7,6,0.38
P01660,39,8.6,0.62,0,8,0.1
P01661,88,4.6,0.88,1,6,0.23
P01662,13,2.7,0.5,0,15,0.23
P01663,30,11.7,0.42,7,1,0.38
P01664,22,14.3,0.38,6,11,0.32
P01665,28,13.4,0.36,2,4,0.32
P01666,7,15.0,0.63,1,5,0.37
P01667,23,6.8,0.3,4,3,0.15
P01668,32,7.8,0.46,4,1,0.25
P01669,22,4.0,0.98,5,0,0.18
P01670,26,6.5,0.62,3,0,0.25
P01671,23,2.9,0.64,4,2,0.05
P01672,30,8.7,0.57,10,0,0.1
P01673,68,7.5,0.92,4,9,0.19
P01674,74,3.1,0.97,9,6,0.28
P01675,63,13.7,0.98,9,13,0.24
P01676,8,8.2,0.49,3,15,0.16
P01677,27,4.3,0.85,5,7,0.07
P01678,21,9.2,0.69,10,4,0.24
P01679,49,2.7,0.97,6,3,0.4
P01680,28,7.4,0.64,3,4,0.06
P01681,20,5.3,0.91,0,6,0.38
P01682,23,3.9,0.37,7,11,0.3
P01683,23,5.2,0.56,6,8,0.22
P01684,26,7.3,0.68,2,11,0.21
P01685,29,14.3,0.64,6,6,0.18
P01686,79,10.5,0.9,5,11,0.29
P01687,21,7.5,0.91,7,8,0.27
P01688,33,14.1,0.33,7,11,0.29
P01689,67,8.9,0.97,9,8,0.32
P01690,28,9.3,0.42,10,2,0.08
P01691,20,12.8,0.46,2,10,0.17
P01692,11,8.8,0.52,5,9,0.39
P01693,14,5.7,0.49,10,6,0.36
P01694,84,13.5,0.89,7,5,0.33
P01695,25,12.8,0.32,7,14,0.38
P01696,10,10.4,0.36,2,7,0.35
P01697,10,3.6,0.46,0,6,0.13
P01698,24,2.5,0.61,9,11,0.13
P01699,65,13.7,0.93,4,10,0.26
P01700,28,14.2,0.98,1,3,0.17
P01701,30,9.2,0.96,0,14,0.26
P01702,72,6.1,0.89,5,12,0.26
P01703,10,5.0,0.65,0,4,0.09
P01704,38,12.1,0.95,10,2,0.09
P01705,52,9.8,0.86,1,10,0.16
P01706,32,8.5,0.6,3,6,0.2
P01707,82,5.1,0.87,0,13,0.37
P01708,11,2.1,0.63,2,8,0.21
P01709,10,9.5,0.31,1,3,0.08
P01710,45,8.0,0.9,3,7,0.34
P01711,23,12.3,0.88,1,14,0.15
P01712,27,15.0,0.63,5,10,0.3
P01713,28,13.7,0.86,9,0,0.32
P01714,30,10.4,0.86,6,15,0.05
P01715,18,11.5,0.61,5,15,0.25
P01716,13,12.9,0.68,5,0,0.29
P01717,90,14.6,0.97,10,4,0.13
P01718,40,6.1,0.86,1,8,0.27
P01719,68,5.5,0.94,3,14,0.38
P01720,20,13.8,0.98,4,12,0.17
P01721,57,8.7,0.87,6,6,0.23
P01722,83,9.2,0.88,8,11,0.18
P01723,12,9.4,0.44,6,3,0.3
P01724,20,2.4,0.62,9,4,0.36
P01725,87,14.6,0.93,5,6,0.38
P01726,53,5.7,0.96,7,9,0.2
P01727,47,12.4,0.85,6,14,0.39
P01728,11,2.2,0.35,6,12,0.17
P01729,16,6.8,0.69,0,14,0.08
P01730,21,5.9,0.36,8,3,0.31
P01731,61,13.3,0.89,1,13,0.38
P01732,26,13.5,0.88,8,15,0.21
P01733,9,13.4,0.57,3,2,0.33
P01734,30,7.5,0.55,7,8,0.34
P01735,65,14.0,0.86,5,13,0.29
P01736,27,7.0,0.93,6,3,0.12
P01737,54,5.3,0.97,7,8,0.16
P01738,20,2.9,0.48,7,2,0.34
P01739,59,2.1,0.94,7,15,0.34
P01740,39,8.7,0.54,8,5,0.4
P01741,5,10.4,0.43,8,9,0.19
P01742,31,2.3,0.88,1,12,0.36
P01743,19,10.8,0.7,8,3,0.06
P01744,26,8.5,0.92,7,13,0.09
P01745,30,2.3,0.52,0,12,0.22
P01746,35,3.8,0.42,0,1,0.09
P01747,44,9.7,0.86,3,5,0.15
P01748,40,13.8,0.41,7,5,0.38
P01749,6,5.5,0.46,1,11,0.35
P01750,66,7.9,0.9,5,15,0.16
P01751,37,10.7,0.57,9,9,0.21
P01752,62,12.4,0.97,9,7,0.27
P01753,30,14.1,0.39,4,8,0.14
P01754,37,3.8,0.65,3,0,0.36
P01755,28,7.4,0.65,4,14,0.38
P01756,39,11.9,0.36,4,1,0.39
P01757,17,2.9,0.7,3,0,0.13
P01758,26,11.3,0.57,2,4,0.39
P01759,32,4.2,0.68,10,4,0.21
P01760,13,7.3,0.52,6,7,0.15
P01761,36,10.8,0.44,9,6,0.36
P01762,33,10.1,0.9,6,4,0.36
P01763,8,4.6,0.41,10,5,0.28
P01764,19,9.0,0.51,6,13,0.32
P01765,87,5.4,0.86,0,15,0.29
P01766,6,6.4,0.41,8,9,0.31
P01767,16,8.6,0.65,3,9,0.27
P01768,64,14.5,0.94,9,0,0.37
P01769,66,11.1,0.89,0,13,0.34
P01770,21,10.3,0.62,1,4,0.18
P01771,27,9.8,0.86,8,12,0.06
P01772,5,12.8,0.61,8,11,0.06
P01773,16,4.6,0.55,3,7,0.24
P01774,89,6.6,0.98,2,8,0.08
P01775,35,10.9,0.95,5,9,0.34
P01776,75,4.1,0.89,8,14,0.17
P01777,16,2.7,0.43,5,8,0.17
P01778,43,11.0,0.9,4,4,0.34
P01779,23,13.9,0.95,2,12,0.18
P01780,46,13.6,0.86,0,8,0.16
P01781,15,11.6,0.45,7,12,0.24
P01782,69,12.6,0.88,2,10,0.12
P01783,82,12.5,0.86,9,14,0.11
P01784,69,14.2,0.87,9,4,0.07
P01785,22,2.9,0.56,0,8,0.11
P01786,28,6.5,0.4,10,9,0.18
P01787,15,3.7,0.59,7,0,0.06
P01788,32,12.6,0.52,7,2,0.37
P01789,73,2.3,0.97,4,8,0.09
P01790,29,12.0,0.6,10,15,0.15
P01791,8,4.5,0.67,3,14,0.26
P01792,5,5.3,0.38,4,6,0.24
P01793,86,13.6,0.9,4,11,0.21
P01794,38,3.5,0.63,1,8,0.3
P01795,42,6.3,0.94,3,12,0.29
P01796,38,11.7,0.32,2,15,0.24
P01797,16,12.7,0.3,6,14,0.11
P01798,56,5.3,0.94,0,13,0.07
P01799,11,6.9,0.45,10,8,0.25
P01800,16,9.1,0.47,8,3,0.19
P01801,10,8.7,0.67,5,1,0.34
P01802,28,3.3,0.92,2,6,0.26
P01803,33,14.9,0.96,6,4,0.38
P01804,34,12.2,0.66,5,4,0.15
P01805,18,12.8,0.64,4,6,0.05
P01806,27,14.2,0.92,5,2,0.37
P01807,12,6.4,0.46,3,7,0.27
P01808,16,3.4,0.5,8,15,0.07
P01809,28,10.9,0.93,9,13,0.09
P01810,66,4.9,0.85,5,9,0.28
P01811,34,4.7,0.95,10,12,0.06
P01812,45,2.5,0.88,5,13,0.07
P01813,30,8.1,0.61,6,0,0.26
P01814,6,12.9,0.53,2,4,0.06
P01815,88,13.1,0.95,7,7,0.38
P01816,23,8.0,0.32,10,1,0.13
P01817,9,10.6,0.4,6,13,0.22
P01818,35,11.0,0.92,1,12,0.29
P01819,52,6.0,0.9,2,6,0.4
P01820,73,10.5,0.96,1,4,0.38
P01821,83,3.1,0.94,10,12,0.29
P01822,30,10.0,0.41,4,9,0.12
P01823,26,14.1,0.92,8,6,0.37
P01824,57,2.3,0.93,7,8,0.27
P01825,26,4.8,0.87,4,1,0.27
P01826,30,9.0,0.39,3,10,0.08
P01827,21,12.9,0.63,7,9,0.19
P01828,16,12.6,0.69,2,8,0.3
P01829,34,4.2,0.59,3,9,0.27
P01830,20,10.9,0.5,5,7,0.15
P01831,47,13.3,0.94,0,7,0.38
P01832,51,4.4,0.95,3,8,0.28
P01833,51,10.2,0.95,5,5,0.36
P01834,7,12.6,0.53,6,9,0.19
P01835,30,13.3,0.96,6,10,0.16
P01836,67,14.7,0.95,10,2,0.35
P01837,33,8.3,0.44,2,12,0.33
P01838,8,14.4,0.44,0,15,0.06
P01839,84,12.7,0.86,4,0,0.39
P01840,28,3.3,0.67,10,5,0.39
P01841,25,14.7,0.51,6,0,0.1
P01842,15,4.9,0.51,5,3,0.25
P01843,40,9.1,0.51,4,7,0.36
P01844,58,14.2,0.98,9,1,0.2
P01845,13,8.7,0.6,2,6,0.3
P01846,38,3.2,0.68,5,6,0.24
P01847,54,12.3,0.97,0,8,0.23
P01848,5,13.0,0.36,10,2,0.13
P01849,7,10.9,0.64,8,4,0.35
P01850,56,7.2,0.95,9,10,0.26
P01851,37,7.8,0.69,1,2,0.34
P01852,5,6.4,0.36,9,11,0.19
P01853,15,5.7,0.46,10,0,0.06
P01854,49,4.8,0.96,10,3,0.39
P01855,61,8.5,0.92,5,8,0.18
P01856,34,6.0,0.34,9,9,0.32
P01857,9,10.8,0.48,4,12,0.34
P01858,18,8.4,0.49,5,8,0.39
P01859,85,6.8,0.88,10,7,0.16
P01860,34,7.3,0.98,7,8,0.13
P01861,9,12.7,0.41,8,8,0.28
P01862,89,5.9,0.97,2,11,0.39
P01863,72,12.8,0.97,4,15,0.1
P01864,39,13.3,0.65,7,3,0.19
P01865,46,13.9,0.93,6,12,0.16
P01866,27,9.6,0.92,6,12,0.37
P01867,8,10.1,0.41,3,12,0.27
P01868,15,7.9,0.38,0,15,0.36
P01869,39,14.2,0.31,7,11,0.37
P01870,66,11.1,0.89,0,6,0.13
P01871,6,2.4,0.41,7,5,0.23
P01872,61,3.5,0.9,9,7,0.21
P01873,60,6.9,0.89,9,13,0.14
P01874,90,10.1,0.88,10,11,0.23
P01875,57,4.8,0.98,0,8,0.34
P01876,49,9.4,0.91,10,12,0.24
P01877,32,14.9,0.92,1,15,0.09
P01878,50,7.7,0.89,7,8,0.1
P01879,19,4.1,0.61,8,4,0.11
P01880,87,9.3,0.85,7,15,0.32
P01881,47,3.2,0.98,6,3,0.34
P01882,25,13.6,0.69,7,1,0.13
P01883,40,5.6,0.95,7,3,0.09
P01884,10,9.5,0.52,1,5,0.27
P01885,33,4.3,0.59,10,2,0.12
P01886,23,12.8,0.96,1,5,0.23
P01887,27,13.6,0.85,2,8,0.26
P01888,79,13.7,0.95,1,13,0.12
P01889,17,8.2,0.51,6,1,0.2
P01890,55,10.9,0.92,10,6,0.4
P01891,29,10.9,0.33,5,4,0.28
P01892,89,3.5,0.93,7,7,0.24
P01893,8,5.1,0.69,6,6,0.39
P01894,32,10.8,0.43,3,7,0.06
P01895,53,12.3,0.92,0,8,0.14
P01896,52,5.4,0.96,3,3,0.09
